H0002	Version	4															
D	24PMD0002	679.9	679.91	irreg	vn	3		60	340		Vein	Vein	zsa	zsa			qz-cb vein
D	24PMD0002	680.5	680.51	sharp	cont	3		35	320		Sediment	Interbedding	zsa	zsa			metasediment contact with hydrothermal breccia and anast cb veins bottom
D	24PMD0002	683.39	683.4	irreg	vn	3		60	70		Vein	Vein	zsa	zsa			cb-qz vein amp in fract and hm in selvedge
D	24PMD0002	688.07	688.08	plan	vn	3		70	20		Vein	Vein	zsa	zsa			cb-qz vein amp in fract and hm in selvedge
D	24PMD0002	689.66	689.67	sharp	bx	3		60	140		Vein	Vein	zsa	zsa			qz-cb vein
D	24PMD0002	692.06	692.07	sharp	bx	3		35	130		Breccia	Vein	zsa	zsa			cal-sil breccia top contact
D	24PMD0002	692.11	692.12	sharp	bx	3		35	130		Breccia	Vein	zsa	zsa			cal-sil breccia bottom contact
D	24PMD0002	694.84	694.85	irreg	bed	3		5	305		Sediment	Interbedding	zsa	zsa			
D	24PMD0002	697.51	697.52	planP	jnt	3		80	145		Sediment	Interbedding	zsa	zsa			
D	24PMD0002	703.7	703.71	sharp	vn	3		20	70		Vein	Vein	zsa	zsa			qz-cb vein
D	24PMD0002	705.04	705.05	irreg	bed	3		10	300		Sediment	Interbedding	zsp	zsc			
D	24PMD0002	706.97	706.98	plan	vn	3		40	135		Vein	Vein	zsc	zsc			cb vein
D	24PMD0002	710.57	710.58	diff	cont	3		60	305		Sediment	Interbedding	zsc	zsp			diffuse contact between cb-zsp. Interpreted alpha and beta
D	24PMD0002	714.4	714.41	plan	bed	3		25	280		Sediment	Interbedding	zsp	zsc			
D	24PMD0002	719.61	719.62	plan	fol	3		35	270		Sediment	Interbedding	zsc	zsc			
D	24PMD0002	721.76	721.77	plan	cont	3		35	270		Sediment	Interbedding	zsc	zsc			metasediment contact with limestone
D	24PMD0002	724.79	724.8	plan	bed	3		20	280		Sediment	Interbedding	zsp	zsa			
D	24PMD0002	727.75	727.76	planS	jnt	1		80	150		Sediment	Interbedding	zsp	zsp			
